x,y
1120.0,1802.0
1775.0,1587.0
1506.0,1864.0
1067.0,1810.0
1066.0,1761.0
532.0,1778.0
984.0,1835.0
651.0,1812.0
1465.0,1756.0
1300.0,1812.0
1147.0,1619.0
1974.0,1600.0
586.0,1774.0
1693.0,1731.0
1249.0,1804.0
1393.0,1763.0
1823.0,1831.0
1822.0,1506.0
892.0,1737.0
1663.0,1848.0
1777.0,1650.0
932.0,1792.0
1459.0,1626.0
1515.0,1538.0
1659.0,1629.0
1963.0,1744.0
1754.0,1877.0
1553.0,1747.0
1802.0,1510.0
806.0,1626.0
1713.0,1611.0
1816.0,1652.0
1739.0,1714.0
675.0,1742.0
1436.0,1831.0
1962.0,1532.0
1007.0,1775.0
1746.0,1564.0
1910.0,1783.0
1338.0,1950.0
1629.0,1522.0
1872.0,1781.0
1727.0,1524.0
1214.0,1946.0
826.0,1817.0
1959.0,1664.0
1719.0,1634.0
1882.0,1538.0
1584.0,1796.0
1534.0,1841.0
1622.0,1793.0
1826.0,1605.0
973.0,1629.0
1235.0,1776.0
1458.0,1867.0
1168.0,1824.0
1779.0,1809.0
1140.0,1814.0
1684.0,1522.0
1687.0,1688.0
1501.0,1774.0
1361.0,1619.0
1243.0,1616.0
1107.0,2009.0
644.0,1779.0
1321.0,1764.0
1608.0,1641.0
1923.0,1512.0
770.0,1783.0
1880.0,1684.0
1918.0,1671.0
1425.0,1638.0
1396.0,1786.0
1638.0,1756.0
1539.0,1804.0
1673.0,1664.0
1611.0,1516.0
1853.0,1653.0
1776.0,1618.0
1736.0,1654.0
1906.0,1598.0
1699.0,1798.0
1277.0,1622.0
1691.0,1499.0
716.0,1759.0
1565.0,1508.0
816.0,1740.0
1774.0,1497.0
1580.0,1607.0
1822.0,1787.0
853.0,1748.0
1364.0,1639.0
1897.0,1504.0
1393.0,1639.0
1909.0,1629.0
1571.0,1643.0
1560.0,1489.0
755.0,1755.0
1619.0,1505.0
1689.0,1456.0
1746.0,1483.0
1989.0,1691.0
1673.0,1468.0
825.0,1784.0
1755.0,1510.0
1676.0,1489.0
1673.0,1482.0
1845.0,1491.0
1839.0,1766.0
1833.0,1483.0
1940.0,1518.0
1590.0,1512.0
1727.0,1799.0
1907.0,1489.0
1298.0,1643.0
1711.0,1463.0
1758.0,1655.0
1653.0,1492.0
668.0,1771.0
815.0,1743.0
783.0,1753.0
3191.0,1769.0
3231.0,1773.0
2282.0,1935.0
3675.0,1835.0
3030.0,1804.0
2198.0,1884.0
3413.0,1740.0
2310.0,1523.0
2038.0,1603.0
2117.0,1607.0
3141.0,1763.0
3464.0,1750.0
3386.0,1942.0
2842.0,1790.0
3774.0,1980.0
3511.0,1816.0
3602.0,1772.0
3021.0,1650.0
2298.0,1846.0
2081.0,1545.0
2794.0,1790.0
2543.0,1834.0
3093.0,1761.0
2108.0,1704.0
3691.0,1775.0
2884.0,1621.0
3569.0,1781.0
2480.0,1636.0
2045.0,1819.0
2468.0,1848.0
2357.0,1812.0
2874.0,1773.0
2934.0,1617.0
3089.0,1676.0
2826.0,1627.0
2404.0,1656.0
2546.0,1751.0
2784.0,1613.0
3530.0,1803.0
2402.0,1866.0
2447.0,1644.0
2922.0,1800.0
3759.0,1765.0
2576.0,1818.0
2454.0,1787.0
2693.0,1776.0
2526.0,1619.0
2392.0,1736.0
2163.0,1711.0
2433.0,1608.0
2395.0,1522.0
2951.0,1799.0
2490.0,1621.0
2661.0,1601.0
2147.0,1821.0
2189.0,1528.0
3340.0,1816.0
2621.0,1820.0
2629.0,1617.0
2922.0,1748.0
2300.0,1645.0
2199.0,1810.0
3065.0,1651.0
2144.0,1656.0
2977.0,1798.0
2142.0,1620.0
2059.0,1774.0
2573.0,1772.0
2594.0,1631.0
2249.0,1745.0
2026.0,1557.0
2222.0,1638.0
2337.0,1627.0
2498.0,1749.0
2969.0,1631.0
3382.0,1799.0
2263.0,1823.0
3286.0,1797.0
2124.0,1510.0
3510.0,1751.0
2263.0,1769.0
2163.0,1765.0
2417.0,1770.0
2287.0,1514.0
2078.0,1484.0
2758.0,1789.0
2351.0,1729.0
2297.0,1774.0
2048.0,1642.0
3051.0,1790.0
2564.0,1624.0
2117.0,1789.0
2207.0,1760.0
2392.0,1624.0
2240.0,1524.0
2331.0,1774.0
2493.0,1817.0
3035.0,1765.0
2272.0,1619.0
2052.0,1692.0
2748.0,1820.0
2076.0,1661.0
2374.0,1622.0
3430.0,1798.0
2141.0,1503.0
2033.0,1478.0
2179.0,1487.0
2750.0,1787.0
2302.0,1781.0
2213.0,1525.0
2585.0,1795.0
